Direction,Pitch,Roll,Yaw
Top,0,5,-27
Top,1,4,-27
Top,3,-4,-28
Top,3,-15,-28
Top,2,-24,-27
Top,3,-27,-29
Top,3,-29,-30
Top,5,-29,-30
Top,5,-28,-30
Top,5,-27,-29
Right,6,-24,-28
Right,6,-23,-28
Right,5,-22,-27
Right,4,-18,-26
Right,4,-18,-26
Right,4,-17,-25
Right,4,-16,-25
Right,4,-15,-25
Right,-2,-13,-24
Right,-25,-2,-20
Bottom,-29,3,-19
Bottom,-28,5,-19
Bottom,-27,7,-19
Bottom,-23,16,-19
Bottom,-11,22,-21
Bottom,-4,27,-21
Bottom,-3,31,-20
Bottom,-2,32,-20
Bottom,-1,32,-21
Bottom,-1,32,-21
Left,0,31,-21
Left,1,31,-21
Left,2,31,-21
Left,10,16,-24
Left,12,12,-25
Left,24,9,-28
Left,27,10,-28
Left,29,9,-28
Left,30,7,-28
Left,30,7,-28
Top,-22,37,-5
Top,-23,37,-6
Top,-22,35,-6
Top,-17,22,-10
Top,-12,13,-12
Top,-15,6,-12
Top,-15,4,-12
Top,-16,4,-11
Top,-15,3,-12
Top,-15,3,-12
Top,-15,3,-12
Top,-14,2,-13
Top,-13,3,-13
Top,-13,3,-13
Top,-12,3,-13
Top,-11,1,-13
Top,-12,2,-13
Top,-12,2,-13
Top,-12,2,-13
Top,-12,3,-13
Right,-12,3,-13
Right,-11,2,-13
Right,-11,2,-13
Right,-12,7,-12
Right,-32,30,3
Right,-43,57,19
Right,-43,59,19
Right,-43,60,19
Right,-43,51,18
Right,-44,49,20
Right,-43,46,18
Right,-42,42,15
Right,-41,41,13
Right,-39,38,10
Right,-40,39,11
Right,-39,37,10
Right,-38,35,9
Right,-37,35,8
Right,-36,34,8
Right,-36,33,7
Bottom,-35,32,6
Bottom,-35,32,6
Bottom,-33,32,3
Bottom,-20,46,-9
Bottom,-21,52,-8
Bottom,-22,55,-9
Bottom,-21,59,-9
Bottom,-20,59,-9
Bottom,-19,58,-9
Bottom,-19,56,-10
Bottom,-17,53,-11
Bottom,-17,53,-11
Bottom,-16,52,-11
Bottom,-16,52,-12
Bottom,-16,51,-12
Bottom,-15,51,-13
Bottom,-15,51,-13
Bottom,-14,50,-14
Bottom,-14,50,-15
Bottom,-14,50,-16
Left,-13,49,-16
Left,-12,49,-17
Left,5,35,-24
Left,11,33,-27
Left,13,33,-28
Left,16,30,-30
Left,17,30,-31
Left,17,30,-31
Left,18,29,-31
Left,19,29,-31
Left,19,29,-31
Left,20,28,-31
Left,20,28,-31
Left,20,27,-31
Left,21,26,-31
Left,21,26,-31
Left,22,26,-31
Left,22,26,-31
Left,22,25,-31
Left,22,25,-31
Top,58,-153,33
Top,59,-149,28
Top,59,-149,27
Top,60,-150,27
Top,60,-147,24
Top,61,-144,20
Top,61,-140,16
Top,60,-136,13
Top,60,-133,11
Top,59,-128,8
Top,59,-123,5
Top,58,-120,3
Top,59,-118,1
Top,59,-116,0
Top,58,-114,-3
Top,57,-110,-7
Top,56,-106,-9
